Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Situation;CollisionTypeEnum;multipleVehicleCollision;Multiple vehicle collision;Collision involving multiple vehicles;;
Situation;CollisionTypeEnum;rearCollision;Rear collision;Includes all accidents where one or more vehicles have collided with the rear of one or more other vehicles.;;
Situation;CollisionTypeEnum;sideCollision;Side collision;Includes all accidents where one or more vehicles have collided with the side of one or more other vehicles.;;
Vms;ColourEnum;amber;Amber;The colour amber.;;
Vms;ColourEnum;blue;Blue;The colour blue.;;
Vms;ColourEnum;green;Green;The colour green.;;
Vms;ColourEnum;red;Red;The colour red.;;
Vms;ColourEnum;white;White;The colour white.;;
Vms;ColourEnum;whiteYellow;White yellow;The colour white-yellow.;;
Situation;CommentTypeEnum;abnormalLoadMovementNote;Abnormal load movement note;A free text human oriented note describing details of abnormal load movements associated with the SituationRecord.;;
Situation;CommentTypeEnum;dataProcessingNote;Data processing note;A free text human oriented note describing the way the information in the SituationRecord has been or should be processed.;;
Situation;CommentTypeEnum;description;Description;A free text human oriented description of the situation element defined by the SituationRecord.;;
Situation;CommentTypeEnum;internalNote;Internal note;A free text human oriented note that supports internal traffic control operations relating to the situation element defined by the SituationRecord.;;
Situation;CommentTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;CommentTypeEnum;roadworksName;Roadworks name;Human-readable name by which the associated roadworks is known;;
Situation;CommentTypeEnum;warning;Warning;A free text human oriented warning relating to the SituationRecord, such as advising the recipient that an advanced warning on VMS should be activated.;;
Common;ComparisonOperatorEnum;equalTo;Equal to;Logical comparison operator of "equal to".;;
Common;ComparisonOperatorEnum;greaterThan;Greater than;Logical comparison operator of "greater than".;;
Common;ComparisonOperatorEnum;greaterThanOrEqualTo;Greater than or equal to;Logical comparison operator of "greater than or equal to".;;
Common;ComparisonOperatorEnum;lessThan;Less than;Logical comparison operator of "less than".;;
Common;ComparisonOperatorEnum;lessThanOrEqualTo;Less than or equal to;Logical comparison operator of "less than or equal to".;;
Situation;ComplianceOptionEnum;advisory;Advisory;Advisory compliance.;;
Situation;ComplianceOptionEnum;mandatory;Mandatory;Mandatory compliance.;;
Vms;CompositePictogramEnum;conditionAtNextExit;Condition at next exit;Deals with condition at next exit.;;
Vms;CompositePictogramEnum;conditionAtSecondExit;Condition at second exit;Deals with condition on current section at second exit.;;
Vms;CompositePictogramEnum;conditionOnCurrentSectionAfterNextExit;Condition on current section after next exit;Deals with condition on current section after next exit.;;
Vms;CompositePictogramEnum;conditionOnCurrentSectionAfterSecondtExit;Condition on current section after secondt exit;Deals with condition on current section after second exit.;;
Vms;CompositePictogramEnum;restrictionAtNextExit;Restriction at next exit;Deals with restriction at next exit.;;
Vms;CompositePictogramEnum;restrictionAtSecondtExit;Restriction at secondt exit;Deals with restriction after second exit.;;
Vms;CompositePictogramEnum;restrictionOnCurrentSectionAfterNextExit;Restriction on current section after next exit;Deals with restriction on current section after next exit.;;
Vms;CompositePictogramEnum;restrictionOnCurrentSectionAfterSecondExit;Restriction on current section after second exit;Deals with restriction on current section after second exit.;;
Common;ComputationMethodEnum;arithmeticAverageOfSamplesBasedOnAFixedNumberOfSamples;Arithmetic average of samples based on a fixed number of samples;Arithmetic average of sample values based on a fixed number of samples.;;
Common;ComputationMethodEnum;arithmeticAverageOfSamplesInATimePeriod;Arithmetic average of samples in a time period;Arithmetic average of sample values in a time period.;;
Common;ComputationMethodEnum;harmonicAverageOfSamplesInATimePeriod;Harmonic average of samples in a time period;Harmonic average of sample values in a time period.;;
Common;ComputationMethodEnum;medianOfSamplesInATimePeriod;Median of samples in a time period;Median of sample values taken over a time period.;;
Common;ComputationMethodEnum;movingAverageOfSamples;Moving average of samples;Moving average of sample values.;;
Common;ConfidentialityValueEnum;internalUse;Internal use;For internal use only of the recipient organisation.;;
Common;ConfidentialityValueEnum;noRestriction;No restriction;No restriction on usage.;;
Common;ConfidentialityValueEnum;restrictedToAuthorities;Restricted to authorities;Restricted for use only by authorities.;;
Common;ConfidentialityValueEnum;restrictedToAuthoritiesAndTrafficOperators;Restricted to authorities and traffic operators;Restricted for use only by authorities and traffic operators.;;
EnergyInfrastructure;ConnectorFormatTypeEnum;cableMode2;Cable mode 2;The connector is an attached cable; the EV users car needs to have a fitting inlet for a mode 2 cable, common for most domestic sockets;;
EnergyInfrastructure;ConnectorFormatTypeEnum;cableMode3;Cable mode 3;The connector is an attached cable; the EV users car needs to have a fitting inlet for a mode 3 cable, can be used for Type 1 and Type 2 sockets.;;
EnergyInfrastructure;ConnectorFormatTypeEnum;otherCable;Other cable;The connector is an attached cable; the EV users car needs to have a fitting inlet.;;
EnergyInfrastructure;ConnectorFormatTypeEnum;socket;Socket;The connector is a socket; the EV user needs to bring a fitting plug;;
EnergyInfrastructure;ConnectorTypeEnum;cee3;CEE3;CEE3, 230 V, 16 A;;
EnergyInfrastructure;ConnectorTypeEnum;cee5;CEE5;CEE5, 400 V, 16-63 A;;
EnergyInfrastructure;ConnectorTypeEnum;chademo;CHAdeMO;CHAdeMO, 600 V DC. Used mostly in Japan.;;
EnergyInfrastructure;ConnectorTypeEnum;domestic;Domestic;A domestic socket of unspecified type. Applicable countries should be specified in separate attribute.;;
EnergyInfrastructure;ConnectorTypeEnum;domesticA;Domestic socket type A;Domestic socket type A (mainly used in the USA, Canada, Mexico & Japan);;
EnergyInfrastructure;ConnectorTypeEnum;domesticB;Domestic socket type B;Domestic socket type B (mainly used in the USA, Canada & Mexico);;
EnergyInfrastructure;ConnectorTypeEnum;domesticC;Domestic socket type C;Domestic socket type C (commonly used in Europe, South America & Asia);;
EnergyInfrastructure;ConnectorTypeEnum;domesticD;Domestic socket type D;Domestic socket type D (mainly used in India);;
EnergyInfrastructure;ConnectorTypeEnum;domesticE;Domestic socket type E;Domestic socket type E (primarily used in France, Belgium, Poland, Slovakia & Czechia);;
EnergyInfrastructure;ConnectorTypeEnum;domesticF;Domestic socket type F;Domestic socket type F (used almost everywhere in Europe & Russia, except for the UK & Ireland);;
EnergyInfrastructure;ConnectorTypeEnum;domesticG;Domestic socket type G;Domestic socket type G (mainly used in the United Kingdom, Ireland, Malta, Malaysia, Singapore & the Arabian Peninsula);;
EnergyInfrastructure;ConnectorTypeEnum;domesticH;Domestic socket type H;Domestic socket type H (used exclusively in Israel, the West Bank & the Gaza Strip);;
EnergyInfrastructure;ConnectorTypeEnum;domesticI;Domestic socket type I;Domestic socket type I (mainly used in Australia, New Zealand, China & Argentina);;
EnergyInfrastructure;ConnectorTypeEnum;domesticJ;Domestic socket type J;Domestic socket type J (used almost exclusively in Switzerland & Liechtenstein);;
EnergyInfrastructure;ConnectorTypeEnum;domesticK;Domestic socket type K;Domestic socket type K (used almost exclusively in Denmark & Greenland);;
EnergyInfrastructure;ConnectorTypeEnum;domesticL;Domestic socket type L;Domestic socket type L (used almost exclusively in Italy & Chile);;
EnergyInfrastructure;ConnectorTypeEnum;domesticM;Domestic socket type M;Domestic socket type M (mainly used in South Africa);;
EnergyInfrastructure;ConnectorTypeEnum;domesticN;Domestic socket type N;Domestic socket type N (used in Brazil and South Africa);;
EnergyInfrastructure;ConnectorTypeEnum;domesticO;Domestic socket type O;Domestic socket type O (used exclusively in Thailand);;
EnergyInfrastructure;ConnectorTypeEnum;iec60309x2single16;IEC 60309-2 1/16A; IEC 60309-2 Industrial Connector single phase 16 amperes (usually blue);;
EnergyInfrastructure;ConnectorTypeEnum;iec60309x2three16;IEC 60309-2 3/16A;IEC 60309-2 Industrial Connector three phase 16 amperes (usually red);;
EnergyInfrastructure;ConnectorTypeEnum;iec60309x2three32;IEC 60309-2 3/32A;IEC 60309-2 Industrial Connector three phase 32 amperes (usually red);;
EnergyInfrastructure;ConnectorTypeEnum;iec60309x2three64;IEC 60309-2 3/64A;IEC 60309-2 Industrial Connector three phase 64 amperes (usually red);;
EnergyInfrastructure;ConnectorTypeEnum;iec62196T1;IEC 62196 Type 1;IEC 62196 Type 1 "SAE J1772".  Mostly used in USA and Asia.;;
EnergyInfrastructure;ConnectorTypeEnum;iec62196T1COMBO;CCS1 / Combo Type 1;Combo Type 1 based, DC;;
EnergyInfrastructure;ConnectorTypeEnum;iec62196T2;IEC 62196 Type 2 "Mennekes";IEC 62196 Type 2 "Mennekes" - 400 V, 16-63 A. Mandatory in Europe; EN 17186 identifier "C";;
EnergyInfrastructure;ConnectorTypeEnum;iec62196T2COMBO;CCS2 / Combo Type 2;Combo Type 2 based, DC, Type 2 connector with extension for simultaneous DC-charging;;
EnergyInfrastructure;ConnectorTypeEnum;iec62196T3A;IEC 62196 Type 3A;IEC 62196 Type 3A; EN 17186 identifier "D";;
EnergyInfrastructure;ConnectorTypeEnum;iec62196T3C;IEC 62196 Type 3C "Scame"; IEC 62196 Type 3C "Scame"; EN 17186 identifier "E";;
EnergyInfrastructure;ConnectorTypeEnum;other;Other;Other charging interface.;;
EnergyInfrastructure;ConnectorTypeEnum;pantographBottomUp;Pantograph bottom up;On-board Bottom-up-Pantograph typically for bus charging;;
EnergyInfrastructure;ConnectorTypeEnum;pantographTopDown;Pantograph top down;Off-board Top-down-Pantograph typically for bus charging;;
EnergyInfrastructure;ConnectorTypeEnum;teslaConnectorAmerica;Tesla connector America;Tesla connector used in America (Tesla specific);;
EnergyInfrastructure;ConnectorTypeEnum;teslaConnectorEurope;Tesla connector Europe;Tesla Connector EU (modification of the Type 2 connector);;
EnergyInfrastructure;ConnectorTypeEnum;teslaR;Tesla R;Tesla Connector "Roadster"-type (round, 4 pin);;
EnergyInfrastructure;ConnectorTypeEnum;teslaS;Tesla S;Tesla Connector "Model-S"-type (oval, 5 pin);;
EnergyInfrastructure;ConnectorTypeEnum;yazaki;Yazaki;Yazaki, 400 VDC, 125 A, Asian standard.;;
Situation;ConstructionWorkTypeEnum;blastingWork;Blasting work;Blasting or quarrying work at the specified location.;;
Situation;ConstructionWorkTypeEnum;constructionWork;Construction work;Construction work of a general nature at the specified location.;;
Situation;ConstructionWorkTypeEnum;demolitionWork;Demolition work;Demolition work associated with the construction work.;;
Situation;ConstructionWorkTypeEnum;roadImprovementOrUpgrading;Road improvement or upgrading;Construction work associated with improvements to the road or its layout or with it upgrading.;;
Situation;ConstructionWorkTypeEnum;roadWideningWork;Road widening work;Road widening work at the specified location.;;
Parking;ContactTypeEnum;customerService;Customer service;Contact details for parking customer support for a facility or specific entity.;;
Parking;ContactTypeEnum;emergencyContact;Emergency contact;Contact details for emergency assistance or support for a facility or specific entity specifically related to parking operations;;
Parking;ContactTypeEnum;operator;Operator;Contact details for the parking operator for a facility or specific entity;;
Parking;ContactTypeEnum;owner;Owner;Contact details for the owner of a facility or specific entity.;;
Parking;ContactTypeEnum;propertyManager;Property manager;Contact details for the property manager of a facility or related facility.;;
Parking;ContactTypeEnum;reservationService;Reservation service;Contact details for a reservation service of a facility or related facility.;;
Parking;ContactTypeEnum;responsibleAuthority;Responsible authority;Contact details for a responsible authority of a facility or related facility.;;
Parking;ContactTypeEnum;securityService;Security service;Contact details for security services for a facility or specific entity.;;
